,0
0,4931428F04Rik
1,Caskin1
2,Scarf2
3,Vps4a
4,Card10
5,Thap11
6,Nup50
7,Rrad
8,Eps8l2
9,Cited1
10,Reep6
11,Ccdc92
12,Trp53rka
13,Gfer
14,Shf
15,Stac2
16,Zfp395
17,Sptbn4
18,B4galt3
19,Sh3bp1
20,Rasgrp4
21,Spata2l
22,Arid3c
23,Vill
24,Rfng
25,Nlgn2
26,Syce2
27,Prph
28,Mkrn1
29,Gpr157
30,Foxa3
31,Zcwpw1
32,Prrx2
33,Ldhd
34,Stard10
35,Arsi
36,Plvap
37,Prss16
38,Fam117a
39,Trim62
40,Eva1c
41,Lrrc73
42,Tradd
43,Dact3
44,Ptpn6
45,Rtraf
46,Gm9747
47,Pgf
48,Mypop
49,Fbxo17
50,Hoxc11
51,Glo1
52,Grik5
53,Brsk1
54,Slc24a3
55,Tmem121
56,Plekhg6
57,Prss41
58,Crnde
59,Dpf1
60,Crlf1
61,Ptpn18
62,Abcg4
63,Adam11
64,Bcar1
65,Hoxc5
66,Adgrl1
67,Dhcr24
68,Dpf3
69,Batf3
70,Cbarp
71,Hic2
72,Mpzl1
73,Tpi1
74,Dlgap3
75,Gm10157
76,Ap1m2
77,Samd14
78,Map4k1
79,2410004I01Rik
80,Crabp1
81,Fndc4
82,A430093F15Rik
83,Pcsk4
84,Fbxl14
85,Tcf15
86,Ninl
87,Rcor2
88,Nckipsd
89,Dusp2
90,Lrrc23
91,Cadm4
92,Ecd
93,Esrrb
94,Nrtn
95,Dnajc9
96,Cd164l2
97,Sema6b
98,Tmem151b
99,Irf6
100,Mdfi
101,---
102,Mafa
103,Wnt5b
104,Dlx1
105,Nradd
106,Uck2
107,Syngap1
108,Rpia
109,Pitx3
110,Trnp1
111,Mlkl
112,Wnt1
113,Slc32a1
114,Ripply3
115,Higd1a
116,Gm20163
117,Tubg2
118,Gm9844
119,Fes
120,Sec14l4
121,Barx2
122,Gm13420
123,Ddn
124,Gm9176
125,Vax2os
126,Ntn3
127,Bcl11a
128,Irf5
129,Ltk
130,Smarcd1
131,Eif1ad10
132,Gpc2
133,Sgk2
134,1700025G04Rik
135,Fbxl19
136,Osr2
137,Npr3
138,Zfta
139,Gm13882
140,Celf5
141,Stab1
142,Nr5a1
143,Pim2
144,Ccdc136
145,Dppa2
146,Calcoco2
147,Mid1
148,Agap2
149,Large2
150,Pgk1
151,Fam162a
152,Pfkl
153,Gapdh
154,Ccnd2
155,Sp6
156,Vax2
157,Hoxc13
158,Rspo1
159,Tead2
160,Rims3
161,Fgf15
162,Zfp57
163,Ndrg2
164,Slc9a3r2
165,Nxph4
166,Fbxo10
167,Slc30a3
168,Lhx6
169,Glipr2
170,Septin5
171,Cgref1
172,Espn
173,Cib2
174,Tcea3
175,Tpm2
176,Angel1
177,Npr2
178,Ppp1r1b
179,Adgrg3
180,Slc17a7
181,Ciart
182,Krt19
183,Amhr2
184,Cryaa
185,Ckb
186,Tbx15
187,Cand2
188,Dpysl5
189,Bin2
190,Diras2
191,Arhgdib
192,Tekt2
193,Igfbp2
194,Cyp2s1
195,Efna3
196,Rassf2
197,Tcf7
198,Hsd17b1
199,Ccdc85c
200,Radil
201,Spryd7
202,Kalrn
203,Ret
204,Rtn4rl1
205,Rnf17
206,Lct
207,Flnc
208,Grin1
209,Cilp2
210,Panx3
211,Tiam1
212,Megf6
213,Lurap1l
214,Scube3
215,Podnl1
216,Cracd
217,Frmd4b
218,Bmp7
219,2610528A11Rik
220,Cerox1
221,Slc16a14
222,Ube2l6
223,Bcl2l11
224,Slc2a3
225,Gng2
226,Sohlh2
227,Igf2
228,Serping1
229,Slc25a23
230,Fmod
231,Tuba3a
232,Bcam
233,Tex101
234,Mmp17
235,Apln
236,Btbd11
237,Tcf24
238,Ndufa4l2
239,Il17rd
240,Kcnh3
241,Slc29a4
242,Cacng7
243,Npnt
244,Zfp365
245,Rab11fip4
246,Igsf3
247,Gm4779
248,Pard6g
249,8030474K03Rik
250,Alcam
251,Dock11
252,Sema4d
253,Agmo
254,Hhip
255,Tuba3b
256,Clmn
257,Prr5
258,Ppbp
259,Arhgap8
260,Txndc16
261,Myh10
262,Wnt4
263,Ankrd35
264,Nt5e
265,Epha4
266,Ggh
267,Tacstd2
268,Igf2bp1
269,Mcm6
270,Vim
271,Dstn
272,Hnrnpm
273,Col1a1
274,Poldip3
275,Hnrnpl
276,Sf3b2
277,Anp32a
278,Dbn1
279,Prdx2
